Release_date=2017-03-01
Gene	Domaine	Start	End	Accession
MORN5_CCDS6836.1	MORN	65	73	PF02493.19
LHX6_CCDS6837.2	LIM	99	156	PF00412.21
LHX6_CCDS6837.2	LIM	160	214	PF00412.21
LHX6_CCDS6837.2	Homeobox	249	305	PF00046.28
LHX6_CCDS6838.2	LIM	99	156	PF00412.21
LHX6_CCDS6838.2	LIM	160	214	PF00412.21
LHX6_CCDS6838.2	Homeobox	249	305	PF00046.28
RBM18_CCDS6839.1	RRM_1	27	98	PF00076.21
MRRF_CCDS6840.1	RRF	99	261	PF01765.18
PTGS1_CCDS6842.1	EGF	36	67	PF00008.26
PTGS1_CCDS6842.1	An_peroxidase	223	524	PF03098.14
PTGS1_CCDS6843.1	EGF	36	67	PF00008.26
PTGS1_CCDS6843.1	An_peroxidase	223	396	PF03098.14
PTGS1_CCDS6843.1	An_peroxidase	409	487	PF03098.14
OR1N1_CCDS6844.1	7tm_4	29	305	PF13853.5
PDCL_CCDS6845.1	Phosducin	36	299	PF02114.15
ZBTB6_CCDS6846.1	BTB	23	125	PF00651.30
ZBTB6_CCDS6846.1	zf-C2H2	327	348	PF00096.25
ZBTB6_CCDS6846.1	zf-C2H2	354	376	PF00096.25
ZBTB26_CCDS6847.1	BTB	23	123	PF00651.30
ZBTB26_CCDS6847.1	zf-C2H2	273	295	PF00096.25
ZBTB26_CCDS6847.1	zf-C2H2	298	320	PF00096.25
ZBTB26_CCDS6847.1	zf-C2H2	326	348	PF00096.25
ZBTB26_CCDS6847.1	zf-C2H2	354	377	PF00096.25
RABGAP1_CCDS6848.2	PID	190	269	PF00640.22
RABGAP1_CCDS6848.2	RabGAP-TBC	570	772	PF00566.17
RABGAP1_CCDS6848.2	DUF3694	307	436	PF12473.7
GPR21_CCDS6849.1	7tm_1	45	304	PF00001.20
STRBP_CCDS6851.1	dsrm	395	450	PF00035.25
STRBP_CCDS6851.1	dsrm	513	574	PF00035.25
STRBP_CCDS6851.1	DZF	87	333	PF07528.13
CRB2_CCDS6852.2	Laminin_G_2	465	588	PF02210.23
CRB2_CCDS6852.2	hEGF	1103	1124	PF12661.6
CRB2_CCDS6852.2	EGF	112	140	PF00008.26
CRB2_CCDS6852.2	EGF	150	179	PF00008.26
CRB2_CCDS6852.2	EGF	188	218	PF00008.26
CRB2_CCDS6852.2	EGF	227	256	PF00008.26
CRB2_CCDS6852.2	EGF	324	354	PF00008.26
CRB2_CCDS6852.2	EGF	362	390	PF00008.26
CRB2_CCDS6852.2	EGF	609	638	PF00008.26
CRB2_CCDS6852.2	EGF	811	841	PF00008.26
CRB2_CCDS6852.2	EGF	1060	1090	PF00008.26
LHX2_CCDS6853.1	LIM	53	110	PF00412.21
LHX2_CCDS6853.1	LIM	115	170	PF00412.21
LHX2_CCDS6853.1	Homeobox	267	323	PF00046.28
NEK6_CCDS6854.1	Pkinase	45	296	PF00069.24
PSMB7_CCDS6855.1	Proteasome	41	221	PF00227.25
PSMB7_CCDS6855.1	Pr_beta_C	235	271	PF12465.7
NR5A1_CCDS6856.1	zf-C4	12	79	PF00105.17
NR5A1_CCDS6856.1	Hormone_recep	253	438	PF00104.29
OLFML2A_CCDS6857.2	OLF	400	650	PF02191.15
RPL35_CCDS6858.1	Ribosomal_L29	8	63	PF00831.22
ARPC5L_CCDS6859.1	P16-Arc	9	153	PF04699.13
GOLGA1_CCDS6860.1	GRIP	692	734	PF01465.19
PPP6C_CCDS6861.1	Metallophos	47	238	PF00149.27
RABEPK_CCDS6862.1	Kelch_2	30	82	PF07646.14
RABEPK_CCDS6862.1	Kelch_3	99	147	PF13415.5
RABEPK_CCDS6862.1	Kelch_3	149	200	PF13415.5
RABEPK_CCDS6862.1	Kelch_1	243	283	PF01344.24
HSPA5_CCDS6863.1	HSP70	30	635	PF00012.19
MAPKAP1_CCDS6864.1	SIN1_PH	345	451	PF16979.4
MAPKAP1_CCDS6864.1	CRIM	139	268	PF16978.4
MAPKAP1_CCDS6864.1	SIN1	18	128	PF05422.11
PBX3_CCDS6865.1	Homeobox	236	295	PF00046.28
PBX3_CCDS6865.1	PBC	43	234	PF03792.12
LMX1B_CCDS6866.2	LIM	56	110	PF00412.21
LMX1B_CCDS6866.2	LIM	115	172	PF00412.21
LMX1B_CCDS6866.2	Homeobox	220	276	PF00046.28
ZBTB43_CCDS6867.1	BTB	23	125	PF00651.30
ZBTB43_CCDS6867.1	zf-C2H2	402	422	PF00096.25
ANGPTL2_CCDS6868.1	Fibrinogen_C	276	487	PF00147.17
GARNL3_CCDS6869.2	Rap_GAP	220	399	PF02145.14
GARNL3_CCDS6869.2	CNH	493	797	PF00780.21
SLC2A8_CCDS6870.1	Sugar_tr	30	474	PF00083.23
ZNF79_CCDS6871.1	zf-C2H2	193	215	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	221	243	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	249	271	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	277	299	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	305	327	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	333	355	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	361	383	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	389	411	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	417	439	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	445	467	PF00096.25
ZNF79_CCDS6871.1	zf-C2H2	473	495	PF00096.25
RPL12_CCDS6872.1	Ribosomal_L11	74	143	PF00298.18
RPL12_CCDS6872.1	Ribosomal_L11_N	13	69	PF03946.13
LRSAM1_CCDS6873.1	LRR_8	128	182	PF13855.5
LRSAM1_CCDS6873.1	zf-C3HC4_3	673	715	PF13920.5
LRSAM1_CCDS6873.1	SAM_2	576	629	PF07647.16
STXBP1_CCDS6874.1	Sec1	29	580	PF00995.22
TTC16_CCDS6875.1	TPR_1	368	398	PF00515.27
TTC16_CCDS6875.1	TPR_16	72	125	PF13432.5
TTC16_CCDS6875.1	TPR_16	258	312	PF13432.5
TOR2A_CCDS6876.1	Torsin	35	160	PF06309.10
SH2D3C_CCDS6877.1	RasGEF	632	710	PF00617.18
SH2D3C_CCDS6877.1	SH2	220	300	PF00017.23
SH2D3C_CCDS6878.1	RasGEF	475	553	PF00617.18
SH2D3C_CCDS6878.1	SH2	63	143	PF00017.23
CDK9_CCDS6879.1	Pkinase	19	315	PF00069.24
ENG_CCDS6880.1	Zona_pellucida	363	533	PF00100.22
AK1_CCDS6881.1	ADK	13	168	PF00406.21
ST6GALNAC6_CCDS6882.1	Glyco_transf_29	96	318	PF00777.17
ST6GALNAC4_CCDS6883.1	Glyco_transf_29	61	291	PF00777.17
PIP5KL1_CCDS6885.1	PIP5K	1	187	PF01504.17
DPM2_CCDS6886.1	DPM2	5	78	PF07297.11
NAIF1_CCDS6889.1	Myb_DNA-bind_5	8	85	PF13873.5
SLC25A25_CCDS6890.1	EF-hand_7	81	138	PF13499.5
SLC25A25_CCDS6890.1	EF-hand_8	55	78	PF13833.5
SLC25A25_CCDS6890.1	Mito_carr	186	272	PF00153.26
SLC25A25_CCDS6890.1	Mito_carr	278	365	PF00153.26
SLC25A25_CCDS6890.1	Mito_carr	376	464	PF00153.26
PTGES2_CCDS6891.1	GST_N_3	104	172	PF13417.5
LCN2_CCDS6892.1	Lipocalin	48	190	PF00061.22
C9orf16_CCDS6893.1	UPF0184	1	83	PF03670.12
CIZ1_CCDS6894.1	zf-C2H2_jaz	686	710	PF12171.7
DNM1_CCDS6895.1	PH	520	620	PF00169.28
DNM1_CCDS6895.1	Dynamin_N	34	206	PF00350.22
DNM1_CCDS6895.1	GED	656	744	PF02212.17
DNM1_CCDS6895.1	Dynamin_M	216	501	PF01031.19
GOLGA2_CCDS6896.2	GOLGA2L5	381	1002	PF15070.5
TRUB2_CCDS6897.1	TruB_N	89	232	PF01509.17
COQ4_CCDS6898.1	Coq4	38	258	PF05019.12
SLC27A4_CCDS6899.1	AMP-binding	81	511	PF00501.27
SLC27A4_CCDS6899.1	AMP-binding_C	520	595	PF13193.5
URM1_CCDS6900.1	Urm1	7	101	PF09138.10
CERCAM_CCDS6901.2	Glyco_tranf_2_4	40	159	PF13704.5
CERCAM_CCDS6901.2	Glyco_transf_25	320	502	PF01755.16
GLE1_CCDS6904.1	GLE1	410	648	PF07817.12
SPTAN1_CCDS6905.1	SH3_1	974	1018	PF00018.27
SPTAN1_CCDS6905.1	Spectrin	45	146	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	150	251	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	256	358	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	361	465	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	468	570	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	574	676	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	679	781	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	785	888	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	891	969	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1096	1166	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1233	1336	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1339	1442	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1446	1549	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1552	1656	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1659	1762	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1764	1868	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1871	1974	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	1978	2081	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	2092	2194	PF00435.20
SPTAN1_CCDS6905.1	Spectrin	2206	2310	PF00435.20
SPTAN1_CCDS6905.1	EF-hand_7	2330	2395	PF13499.5
SPTAN1_CCDS6905.1	EFhand_Ca_insen	2402	2470	PF08726.9
WDR34_CCDS6906.2	WD40	386	420	PF00400.31
WDR34_CCDS6906.2	WD40	483	510	PF00400.31
SET_CCDS6907.1	NAP	77	221	PF00956.17
PKN3_CCDS6908.1	Pkinase	562	818	PF00069.24
PKN3_CCDS6908.1	HR1	21	77	PF02185.15
PKN3_CCDS6908.1	HR1	107	169	PF02185.15
PKN3_CCDS6908.1	HR1	181	241	PF02185.15
PKN3_CCDS6908.1	Pkinase_C	843	881	PF00433.23
ZDHHC12_CCDS6909.1	DHHC	97	216	PF01529.19
TBC1D13_CCDS6911.1	RabGAP-TBC	209	367	PF00566.17
ENDOG_CCDS6912.1	Endonuclease_NS	61	282	PF01223.22
C9orf114_CCDS6913.1	Methyltrn_RNA_3	74	364	PF02598.16
PHYHD1_CCDS6914.1	PhyH	12	148	PF05721.12
SH3GLB2_CCDS6916.1	BAR	16	279	PF03114.17
SH3GLB2_CCDS6916.1	SH3_9	342	392	PF14604.5
FAM73B_CCDS6917.1	Miga	32	568	PF10265.8
DOLPP1_CCDS6918.1	PAP2	61	184	PF01569.20
CRAT_CCDS6919.1	Carn_acyltransf	35	615	PF00755.19
PPP2R4_CCDS6920.1	PTPA	26	316	PF03095.14
ASB6_CCDS6924.1	SOCS_box	372	410	PF07525.15
ASB6_CCDS6924.1	Ank_2	67	133	PF12796.6
ASB6_CCDS6925.1	Ank_2	67	133	PF12796.6
PRRX2_CCDS6926.1	Homeobox	105	161	PF00046.28
PRRX2_CCDS6926.1	OAR	227	243	PF03826.16
PTGES_CCDS6927.1	MAPEG	17	146	PF01124.17
TOR1B_CCDS6929.1	Torsin	51	176	PF06309.10
TOR1A_CCDS6930.1	Torsin	44	169	PF06309.10
C9orf78_CCDS6931.1	Hep_59	101	197	PF07052.10
NCS1_CCDS6932.1	EF-hand_7	98	171	PF13499.5
NCS1_CCDS6932.1	EF-hand_1	68	90	PF00036.31
ASS1_CCDS6933.1	Arginosuc_synth	8	402	PF00764.18
PRDM12_CCDS6934.1	zf-C2H2	244	265	PF00096.25
PRDM12_CCDS6934.1	zf-C2H2	271	293	PF00096.25
EXOSC2_CCDS6935.1	ECR1_N	26	63	PF14382.5
EXOSC2_CCDS6935.1	KH_6	169	208	PF15985.4
QRFP_CCDS6936.1	RFamide_26RFa	5	135	PF11109.7
FIBCD1_CCDS6937.1	Fibrinogen_C	241	456	PF00147.17
LAMC3_CCDS6938.1	Laminin_N	35	269	PF00055.16
LAMC3_CCDS6938.1	Laminin_B	540	671	PF00052.17
LAMC3_CCDS6938.1	Laminin_EGF	271	314	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	327	377	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	383	427	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	430	477	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	673	694	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	707	752	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	755	804	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	810	858	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	866	914	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	917	957	PF00053.23
LAMC3_CCDS6938.1	Laminin_EGF	965	1013	PF00053.23
PPAPDC3_CCDS6942.1	PAP2	145	252	PF01569.20
POMT1_CCDS6943.1	PMT_4TMC	542	740	PF16192.4
POMT1_CCDS6943.1	MIR	341	494	PF02815.18
POMT1_CCDS6943.1	PMT	20	289	PF02366.17
UCK1_CCDS6944.1	PRK	25	218	PF00485.17
MED27_CCDS6945.1	Med27	229	310	PF11571.7
NTNG2_CCDS6946.1	Laminin_N	39	285	PF00055.16
NTNG2_CCDS6946.1	Laminin_EGF	287	328	PF00053.23
NTNG2_CCDS6946.1	Laminin_EGF	353	401	PF00053.23
NTNG2_CCDS6946.1	Laminin_EGF	409	456	PF00053.23
SETX_CCDS6947.1	AAA_11	1934	2217	PF13086.5
SETX_CCDS6947.1	AAA_12	2225	2424	PF13087.5
TTF1_CCDS6948.1	Myb_DNA-bind_6	621	677	PF13921.5
C9orf171_CCDS6949.1	DUF4483	102	238	PF14825.5
BARHL1_CCDS6950.1	Homeobox	179	235	PF00046.28
DDX31_CCDS6951.1	DUF4217	695	754	PF13959.5
DDX31_CCDS6951.1	Helicase_C	505	623	PF00271.30
DDX31_CCDS6951.1	DEAD	255	431	PF00270.28
DDX31_CCDS6952.1	Helicase_C	505	585	PF00271.30
DDX31_CCDS6952.1	DEAD	255	431	PF00270.28
GTF3C4_CCDS6953.1	zf-TFIIIC	739	790	PF12660.6
GTF3C4_CCDS6953.1	TFIIIC_delta	64	254	PF12657.6
AK8_CCDS6954.1	ADK	62	233	PF00406.21
AK8_CCDS6954.1	ADK	273	447	PF00406.21
C9orf9_CCDS6955.1	SPACA9	2	164	PF15120.5
TSC1_CCDS6956.1	Hamartin	7	719	PF04388.11
GFI1B_CCDS6957.1	zf-C2H2	163	186	PF00096.25
GFI1B_CCDS6957.1	zf-C2H2	192	214	PF00096.25
GFI1B_CCDS6957.1	zf-C2H2	220	242	PF00096.25
GFI1B_CCDS6957.1	zf-C2H2	248	270	PF00096.25
GFI1B_CCDS6957.1	zf-C2H2	276	298	PF00096.25
GFI1B_CCDS6957.1	zf-C2H2	304	327	PF00096.25
GTF3C5_CCDS6958.1	Tau95	24	322	PF09734.8
RALGDS_CCDS6959.1	RasGEF_N	116	225	PF00618.19
RALGDS_CCDS6959.1	RA	799	883	PF00788.22
RALGDS_CCDS6959.1	RasGEF	390	596	PF00617.18
GBGT1_CCDS6960.1	Glyco_transf_6	35	347	PF03414.12
OBP2B_CCDS6961.1	Lipocalin	26	163	PF00061.22
SURF6_CCDS6962.1	SURF6	140	340	PF04935.11
MED22_CCDS6963.1	Med22	20	124	PF06179.11
MED22_CCDS6964.1	Med22	20	124	PF06179.11
RPL7A_CCDS6965.1	Ribosomal_L7Ae	131	212	PF01248.25
SURF1_CCDS6966.1	SURF1	69	283	PF02104.14
SURF2_CCDS6967.1	SURF2	5	250	PF05477.10
SURF4_CCDS6968.1	SURF4	4	269	PF02077.14
REXO4_CCDS6969.1	RNase_T	245	394	PF00929.23
ADAMTS13_CCDS6970.1	TSP_1	388	438	PF00090.18
ADAMTS13_CCDS6970.1	TSP_1	750	804	PF00090.18
ADAMTS13_CCDS6970.1	TSP_1	1022	1050	PF00090.18
ADAMTS13_CCDS6970.1	TSP_1	1079	1105	PF00090.18
ADAMTS13_CCDS6970.1	Reprolysin	123	286	PF01421.18
ADAMTS13_CCDS6971.1	TSP_1	357	407	PF00090.18
ADAMTS13_CCDS6971.1	TSP_1	719	773	PF00090.18
ADAMTS13_CCDS6971.1	TSP_1	991	1019	PF00090.18
ADAMTS13_CCDS6971.1	TSP_1	1048	1074	PF00090.18
ADAMTS13_CCDS6971.1	Reprolysin_3	125	235	PF13582.5
ADAMTS13_CCDS6972.1	TSP_1	388	438	PF00090.18
ADAMTS13_CCDS6972.1	TSP_1	750	804	PF00090.18
ADAMTS13_CCDS6972.1	TSP_1	1022	1050	PF00090.18
ADAMTS13_CCDS6972.1	TSP_1	1079	1105	PF00090.18
ADAMTS13_CCDS6972.1	Reprolysin	122	286	PF01421.18
CACFD1_CCDS6974.1	Cg6151-P	35	143	PF10233.8
SLC2A6_CCDS6975.1	Sugar_tr	42	497	PF00083.23
ADAMTSL2_CCDS6976.1	TSP_1	51	105	PF00090.18
ADAMTSL2_CCDS6976.1	TSP_1	628	652	PF00090.18
ADAMTSL2_CCDS6976.1	TSP_1	744	794	PF00090.18
ADAMTSL2_CCDS6976.1	TSP_1	802	829	PF00090.18
ADAMTSL2_CCDS6976.1	TSP_1	859	907	PF00090.18
ADAMTSL2_CCDS6976.1	ADAM_spacer1	215	330	PF05986.13
ADAMTSL2_CCDS6976.1	PLAC	916	947	PF08686.10
DBH_CCDS6977.2	Cu2_monooxygen	214	339	PF01082.19
DBH_CCDS6977.2	Cu2_monoox_C	361	516	PF03712.14
DBH_CCDS6977.2	DOMON	57	170	PF03351.16
SARDH_CCDS6978.1	GCV_T_C	807	872	PF08669.10
SARDH_CCDS6978.1	DAO	69	427	PF01266.23
SARDH_CCDS6978.1	FAO_M	430	485	PF16350.4
SARDH_CCDS6978.1	GCV_T	488	797	PF01571.20
VAV2_CCDS6979.1	PH	402	501	PF00169.28
VAV2_CCDS6979.1	RhoGEF	197	369	PF00621.19
VAV2_CCDS6979.1	SH3_2	581	640	PF07653.16
VAV2_CCDS6979.1	SH3_2	787	835	PF07653.16
VAV2_CCDS6979.1	C1_1	514	561	PF00130.21
VAV2_CCDS6979.1	CAMSAP_CH	19	103	PF11971.7
VAV2_CCDS6979.1	SH2	663	737	PF00017.23
BRD3_CCDS6980.1	Bromodomain	46	126	PF00439.24
BRD3_CCDS6980.1	Bromodomain	315	402	PF00439.24
BRD3_CCDS6980.1	BET	571	635	PF17035.4
WDR5_CCDS6981.1	WD40	39	72	PF00400.31
WDR5_CCDS6981.1	WD40	79	115	PF00400.31
WDR5_CCDS6981.1	WD40	119	157	PF00400.31
WDR5_CCDS6981.1	WD40	161	199	PF00400.31
WDR5_CCDS6981.1	WD40	203	242	PF00400.31
WDR5_CCDS6981.1	WD40	246	287	PF00400.31
WDR5_CCDS6981.1	WD40	293	331	PF00400.31
COL5A1_CCDS6982.1	COLFI	1608	1836	PF01410.17
COL5A1_CCDS6982.1	Collagen	469	517	PF01391.17
COL5A1_CCDS6982.1	Collagen	561	616	PF01391.17
COL5A1_CCDS6982.1	Collagen	751	808	PF01391.17
COL5A1_CCDS6982.1	Collagen	1466	1523	PF01391.17
COL5A1_CCDS6982.1	Collagen	1513	1571	PF01391.17
FCN2_CCDS6983.1	Fibrinogen_C	102	312	PF00147.17
FCN2_CCDS6983.1	Collagen	50	95	PF01391.17
FCN1_CCDS6985.1	Fibrinogen_C	115	325	PF00147.17
FCN1_CCDS6985.1	Collagen	52	107	PF01391.17
OLFM1_CCDS6986.1	OLF	212	457	PF02191.15
OLFM1_CCDS6986.1	Noelin-1	37	134	PF12308.7
OLFM1_CCDS6987.1	Noelin-1	37	134	PF12308.7
PPP1R26_CCDS6988.1	PPP1R26_N	1	852	PF15740.4
C9orf116_CCDS6989.1	DUF4490	5	75	PF14892.5
MRPS2_CCDS6990.1	Ribosomal_S2	84	180	PF00318.19
MRPS2_CCDS6990.1	Ribosomal_S2	188	259	PF00318.19
LCN1_CCDS6991.1	Lipocalin	32	169	PF00061.22
OBP2A_CCDS6992.1	Lipocalin	26	163	PF00061.22
NACC2_CCDS6993.1	BTB	20	116	PF00651.30
NACC2_CCDS6993.1	BEN	376	431	PF10523.8
LHX3_CCDS6994.1	LIM	31	86	PF00412.21
LHX3_CCDS6994.1	LIM	90	147	PF00412.21
LHX3_CCDS6994.1	Homeobox	158	214	PF00046.28
LHX3_CCDS6995.1	LIM	36	91	PF00412.21
LHX3_CCDS6995.1	LIM	95	152	PF00412.21
LHX3_CCDS6995.1	Homeobox	163	219	PF00046.28
GPSM1_CCDS6996.2	TPR_12	106	161	PF13424.5
GPSM1_CCDS6996.2	TPR_12	222	281	PF13424.5
GPSM1_CCDS6996.2	TPR_12	293	360	PF13424.5
CARD9_CCDS6997.1	CARD	11	96	PF00619.20
SNAPC4_CCDS6998.1	Myb_DNA-bind_6	297	357	PF13921.5
SNAPC4_CCDS6998.1	Myb_DNA-binding	401	445	PF00249.30
SNAPC4_CCDS6998.1	Myb_DNA-binding	453	496	PF00249.30
INPP5E_CCDS7000.1	Exo_endo_phos	304	584	PF03372.22
EGFL7_CCDS7002.1	EMI	28	94	PF07546.12
EGFL7_CCDS7002.1	EGF_2	107	134	PF07974.12
EGFL7_CCDS7002.1	EGF_CA	137	176	PF07645.14
AGPAT2_CCDS7003.1	Acyltransferase	78	205	PF01553.20
FAM69B_CCDS7004.1	PIP49_N	23	178	PF14875.5
FAM69B_CCDS7004.1	PIP49_C	197	398	PF12260.7
LCN6_CCDS7005.1	Lipocalin	33	160	PF00061.22
LCN15_CCDS7006.1	Lipocalin	34	174	PF00061.22
TMEM141_CCDS7007.1	TMEM141	6	96	PF15110.5
PHPT1_CCDS7009.1	Ocnus	7	117	PF05005.14
MAMDC4_CCDS7010.1	Ldl_recept_a	228	265	PF00057.17
MAMDC4_CCDS7010.1	MAM	66	217	PF00629.22
MAMDC4_CCDS7010.1	MAM	272	424	PF00629.22
MAMDC4_CCDS7010.1	MAM	494	572	PF00629.22
MAMDC4_CCDS7010.1	MAM	577	729	PF00629.22
MAMDC4_CCDS7010.1	MAM	734	889	PF00629.22
MAMDC4_CCDS7010.1	MAM	894	1058	PF00629.22
EDF1_CCDS7011.1	MBF1	4	73	PF08523.9
EDF1_CCDS7011.1	HTH_3	81	132	PF01381.21
EDF1_CCDS7012.1	MBF1	4	73	PF08523.9
EDF1_CCDS7012.1	HTH_3	81	132	PF01381.21
TRAF2_CCDS7013.1	zf-TRAF	178	235	PF02176.17
TRAF2_CCDS7013.1	TRAF_BIRC3_bd	267	330	PF16673.4
TRAF2_CCDS7013.1	zf-C3HC4	34	72	PF00097.24
FBXW5_CCDS7014.1	F-box-like	7	50	PF12937.6
FBXW5_CCDS7014.1	WD40	85	120	PF00400.31
C8G_CCDS7017.1	Lipocalin	48	184	PF00061.22
LCN12_CCDS7018.2	Lipocalin	40	183	PF00061.22
PTGDS_CCDS7019.1	Lipocalin	41	184	PF00061.22
C9orf142_CCDS7020.1	PAXX	8	204	PF15384.5
CLIC3_CCDS7021.1	GST_N_3	21	86	PF13417.5
CLIC3_CCDS7021.1	GST_C_2	126	207	PF13410.5
FUT7_CCDS7022.1	Glyco_transf_10	169	340	PF00852.18
FUT7_CCDS7022.1	Glyco_tran_10_N	46	154	PF17039.4
NPDC1_CCDS7024.1	NPDC1	1	325	PF06809.10
ENTPD2_CCDS7025.1	GDA1_CD39	38	383	PF01150.16
ENTPD2_CCDS7026.1	GDA1_CD39	38	450	PF01150.16
SAPCD2_CCDS7027.2	Suppressor_APC	225	305	PF11414.7
UAP1L1_CCDS7028.2	UDPGP	99	440	PF01704.17
MAN1B1_CCDS7029.1	Glyco_hydro_47	257	695	PF01532.19
DPP7_CCDS7030.1	Peptidase_S28	38	464	PF05577.11
GRIN1_CCDS7031.1	CaM_bdg_C0	835	863	PF10562.8
GRIN1_CCDS7031.1	Lig_chan	560	824	PF00060.25
GRIN1_CCDS7031.1	Lig_chan-Glu_bd	454	545	PF10613.8
GRIN1_CCDS7031.1	ANF_receptor	42	358	PF01094.27
GRIN1_CCDS7032.1	CaM_bdg_C0	835	863	PF10562.8
GRIN1_CCDS7032.1	Lig_chan	560	824	PF00060.25
GRIN1_CCDS7032.1	Lig_chan-Glu_bd	454	545	PF10613.8
GRIN1_CCDS7032.1	ANF_receptor	42	358	PF01094.27
ANAPC2_CCDS7033.1	Cullin	501	710	PF00888.21
ANAPC2_CCDS7033.1	ANAPC2	757	817	PF08672.10
NDOR1_CCDS7036.1	Flavodoxin_1	8	145	PF00258.24
NDOR1_CCDS7036.1	FAD_binding_1	203	421	PF00667.19
NDOR1_CCDS7036.1	NAD_binding_1	455	560	PF00175.20
SLC34A3_CCDS7038.1	Na_Pi_cotrans	85	204	PF02690.14
SLC34A3_CCDS7038.1	Na_Pi_cotrans	376	461	PF02690.14
TUBB4B_CCDS7039.1	Tubulin_C	261	381	PF03953.16
TUBB4B_CCDS7039.1	Tubulin	3	211	PF00091.24
NELFB_CCDS7040.1	COBRA1	107	578	PF06209.12
TOR4A_CCDS7041.1	Torsin	147	253	PF06309.10
NOXA1_CCDS7042.1	SH3_1	405	457	PF00018.27
NOXA1_CCDS7042.1	PB1	323	393	PF00564.23
ENTPD8_CCDS7043.1	GDA1_CD39	37	347	PF01150.16
ENTPD8_CCDS7043.1	GDA1_CD39	363	418	PF01150.16
PNPLA7_CCDS7045.1	cNMP_binding	164	258	PF00027.28
PNPLA7_CCDS7045.1	cNMP_binding	479	565	PF00027.28
PNPLA7_CCDS7045.1	cNMP_binding	595	680	PF00027.28
PNPLA7_CCDS7045.1	Patatin	928	1093	PF01734.21
MRPL41_CCDS7046.1	MRP-L27	13	127	PF09809.8
DPH7_CCDS7047.1	WD40	236	268	PF00400.31
ZMYND19_CCDS7048.1	zf-MYND	182	212	PF01753.17
ZMYND19_CCDS7048.1	HNH_3	67	104	PF13392.5
ARRDC1_CCDS7049.1	Arrestin_C	163	284	PF02752.21
ARRDC1_CCDS7049.1	Arrestin_N	7	139	PF00339.28
EHMT1_CCDS7050.2	SET	1137	1243	PF00856.27
EHMT1_CCDS7050.2	Pre-SET	1014	1118	PF05033.15
EHMT1_CCDS7050.2	Ank_2	833	903	PF12796.6
EHMT1_CCDS7050.2	Ank_2	910	984	PF12796.6
EHMT1_CCDS7050.2	Ank_4	774	826	PF13637.5
TUBB8_CCDS7051.1	Tubulin_C	261	381	PF03953.16
TUBB8_CCDS7051.1	Tubulin	3	211	PF00091.24
ZMYND11_CCDS7052.2	PWWP	281	350	PF00855.16
ZMYND11_CCDS7052.2	Bromodomain	184	241	PF00439.24
ZMYND11_CCDS7053.2	PWWP	280	349	PF00855.16
ZMYND11_CCDS7053.2	Bromodomain	184	240	PF00439.24
DIP2C_CCDS7054.1	AMP-binding	346	799	PF00501.27
DIP2C_CCDS7054.1	AMP-binding	976	1449	PF00501.27
DIP2C_CCDS7054.1	DMAP_binding	9	119	PF06464.10
IDI2_CCDS7055.1	NUDIX	50	197	PF00293.27
IDI1_CCDS7056.1	NUDIX	107	254	PF00293.27
WDR37_CCDS7057.1	WD40	147	185	PF00400.31
WDR37_CCDS7057.1	WD40	189	226	PF00400.31
WDR37_CCDS7057.1	WD40	314	351	PF00400.31
WDR37_CCDS7057.1	WD40	360	394	PF00400.31
